ppu,quantity,ppu_l,quantity_l
35.02415902770037,46.10764770667234,3.556038081305271,3.830978830097803
51.68950695547295,24.478095296685296,3.9452548006728634,3.197778648109088
48.378928803810126,25.66458817448133,3.8790643636347775,3.2451121496914865
28.585610841529018,53.031526329391596,3.352903473790711,3.9708865731106893
35.5884524732006,45.97485285095473,3.572021216508749,3.8280945698535005
40.831920729090236,28.318813651612395,3.7094641463286453,3.343526377115178
38.66424044257088,28.000705156414433,3.6549151532946778,3.3322296940157465
40.00843192674927,30.266255832956844,3.6890902300678556,3.410033423046028
35.48873284431006,43.80601622688291,3.5692152614368746,3.7797711647279706
51.93788529750114,24.955696061842033,3.9500484910719265,3.217102095213085
50.090754292841936,25.78563591218568,3.91383644600723,3.249817589296381
29.27763110216385,51.479046738361255,3.3768237808393833,3.9411748654306322
45.16097996990913,25.4419103505198,3.8102334389997217,3.236397828047275
40.31647290242547,27.882798070017476,3.696760142318307,3.3280099420479203
32.07810807239547,53.217883708632606,3.4681738059598093,3.9743944997952094
