year,week,country,brand,channel,quantity,ppu,ppu_l,quantity_l
2019,50,Kenya,4,shop,590,12.5,2.5257286443082556,6.380122536899765
2019,39,Panama,1,wholesale,292,12.45,2.5217206229107165,5.676753802268282
2019,8,Panama,1,shop,268,14.2,2.653241964607215,5.5909869805108565
2019,7,Kenya,4,shop,580,12.43,2.5201129055226197,6.363028103540465
2019,10,Panama,3,retail,260,15.15,2.7180005319553784,5.560681631015528
2019,29,Papua New Guinea,1,shop,880,12.54,2.5289235352047745,6.779921907472252
2019,12,Papua New Guinea,1,retail,800,15.15,2.7180005319553784,6.684611727667927
2019,6,Guatamala,1,retail,494,12.5,2.5257286443082556,6.202535517187923
2019,37,Guatamala,1,shop,470,15.15,2.7180005319553784,6.152732694704104
2019,34,Guatamala,3,retail,488,12.55,2.529720665577793,6.1903154058531475
2019,30,Kenya,3,wholesale,556,15.15,2.7180005319553784,6.320768294250582
2019,5,Guatamala,2,retail,494,12.48,2.5241273629412815,6.202535517187923
2019,24,Papua New Guinea,1,retail,820,14.2,2.653241964607215,6.709304340258298
2019,1,Guatamala,1,retail,466,12.55,2.529720665577793,6.144185634125646
2019,28,Guatamala,2,retail,476,14.2,2.653241964607215,6.16541785423142
2019,48,Ethiopia,1,retail,655,13.02,2.5664866367804233,6.484635235635252
2019,5,Papua New Guinea,1,shop,820,14.2,2.653241964607215,6.709304340258298
2019,32,Papua New Guinea,1,retail,840,13.02,2.5664866367804233,6.733401891837359
2019,1,Guatamala,1,shop,470,15.13,2.7166795278002644,6.152732694704104
2019,9,Papua New Guinea,1,wholesale,880,12.5,2.5257286443082556,6.779921907472252
2019,6,Papua New Guinea,1,shop,860,12.55,2.529720665577793,6.756932389247553
2019,48,Guatamala,2,shop,470,15.15,2.7180005319553784,6.152732694704104
2019,4,Kenya,4,retail,550,15.15,2.7180005319553784,6.309918278226516
2019,4,Kenya,3,wholesale,570,13.02,2.5664866367804233,6.345636360828596
2019,29,Guatamala,1,retail,494,12.52,2.5273273656719524,6.202535517187923
2019,52,Guatamala,3,retail,476,14.2,2.653241964607215,6.16541785423142
2019,38,Ethiopia,4,wholesale,685,12.5,2.5257286443082556,6.529418838262226
2019,17,Kenya,3,retail,560,14.2,2.653241964607215,6.327936783729195
2019,4,Papua New Guinea,1,shop,800,15.15,2.7180005319553784,6.684611727667927
2019,11,Guatamala,2,shop,488,12.55,2.529720665577793,6.1903154058531475
2019,31,Kenya,2,retail,560,14.2,2.653241964607215,6.327936783729195
2019,24,Ethiopia,4,shop,670,12.55,2.529720665577793,6.507277712385012
2019,32,Kenya,4,retail,560,14.2,2.653241964607215,6.327936783729195
2019,17,Ethiopia,2,retail,640,14.2,2.653241964607215,6.461468176353717
2019,20,Ethiopia,1,retail,685,12.5,2.5257286443082556,6.529418838262226
2019,3,Guatamala,2,retail,488,12.55,2.529720665577793,6.1903154058531475
2019,16,Papua New Guinea,1,wholesale,800,15.15,2.7180005319553784,6.684611727667927
2019,2,Ethiopia,1,retail,656,14.2,2.653241964607215,6.486160788944089
2019,46,Guatamala,4,shop,476,14.2,2.653241964607215,6.16541785423142
2019,4,Kenya,1,shop,570,13.02,2.5664866367804233,6.345636360828596
2019,5,Ethiopia,4,retail,640,14.2,2.653241964607215,6.461468176353717
2019,45,Guatamala,4,shop,476,14.33,2.6623552418400807,6.16541785423142
2019,15,Panama,1,wholesale,276,13.02,2.5664866367804233,5.62040086571715
2019,52,Ethiopia,5,shop,670,12.55,2.529720665577793,6.507277712385012
2019,5,Papua New Guinea,1,retail,800,15.15,2.7180005319553784,6.684611727667927
2019,28,Panama,1,shop,260,15.22,2.7226103524335397,5.560681631015528
2019,20,Guatamala,2,wholesale,482,13.02,2.5664866367804233,6.1779441140506
2019,27,Papua New Guinea,1,wholesale,820,14.2,2.653241964607215,6.709304340258298
2019,19,Guatamala,1,shop,488,12.55,2.529720665577793,6.1903154058531475
2019,3,Kenya,1,wholesale,550,15.15,2.7180005319553784,6.309918278226516
2019,25,Guatamala,3,retail,488,12.55,2.529720665577793,6.1903154058531475
2019,43,Panama,1,shop,268,14.2,2.653241964607215,5.5909869805108565
2019,16,Guatamala,1,wholesale,482,13.02,2.5664866367804233,6.1779441140506
2019,31,Papua New Guinea,1,shop,844,12.55,2.529720665577793,6.738152494595957
2019,36,Panama,1,retail,284,12.55,2.529720665577793,5.648974238161206
2019,1,Kenya,2,retail,570,13.02,2.5664866367804233,6.345636360828596
2019,13,Panama,2,wholesale,276,13.02,2.5664866367804233,5.62040086571715
2019,49,Guatamala,4,shop,472,12.5,2.5257286443082556,6.156978985585555
2019,36,Papua New Guinea,1,retail,840,13.02,2.5664866367804233,6.733401891837359
2019,31,Papua New Guinea,1,retail,864,15.15,2.7180005319553784,6.761572768804055
2019,33,Guatamala,3,shop,482,13.02,2.5664866367804233,6.1779441140506
2019,10,Kenya,1,retail,595,13.02,2.5664866367804233,6.38856140554563
2019,24,Ethiopia,5,wholesale,640,14.2,2.653241964607215,6.461468176353717
2019,34,Panama,1,shop,292,12.52,2.5273273656719524,5.676753802268282
2019,11,Papua New Guinea,1,shop,800,15.15,2.7180005319553784,6.684611727667927
2019,14,Ethiopia,3,wholesale,685,12.5,2.5257286443082556,6.529418838262226
2019,2,Guatamala,4,shop,482,13.02,2.5664866367804233,6.1779441140506
2019,23,Ethiopia,1,retail,625,15.15,2.7180005319553784,6.437751649736401
2019,30,Panama,3,retail,270,12.5,2.5257286443082556,5.598421958998375
2019,35,Papua New Guinea,1,wholesale,831,12.5,2.5257286443082556,6.7226297948554485
2019,12,Papua New Guinea,1,shop,840,13.02,2.5664866367804233,6.733401891837359
2019,30,Guatamala,2,retail,482,13.02,2.5664866367804233,6.1779441140506
2019,7,Kenya,1,shop,570,12.98,2.563409711275944,6.345636360828596
2019,40,Ethiopia,1,shop,640,14.2,2.653241964607215,6.461468176353717
2019,46,Guatamala,3,wholesale,470,15.2,2.7212954278522306,6.152732694704104
2019,27,Panama,1,shop,292,12.5,2.5257286443082556,5.676753802268282
2019,9,Panama,1,shop,298,14.2,2.653241964607215,5.697093486505405
2019,38,Panama,2,wholesale,284,12.55,2.529720665577793,5.648974238161206
2019,3,Panama,1,wholesale,268,14.2,2.653241964607215,5.5909869805108565
2019,29,Guatamala,4,retail,467,13.02,2.5664866367804233,6.1463292576688975
2019,51,Guatamala,1,shop,432,15.15,2.7180005319553784,6.068425588244111
2019,38,Panama,2,retail,313,13.02,2.5664866367804233,5.746203190540153
2019,35,Ethiopia,3,retail,625,15.15,2.7180005319553784,6.437751649736401
2019,46,Papua New Guinea,1,retail,840,13.02,2.5664866367804233,6.733401891837359
2019,47,Guatamala,1,retail,476,14.2,2.653241964607215,6.16541785423142
2019,33,Guatamala,1,wholesale,464,13.02,2.5664866367804233,6.139884552226255
2019,52,Panama,1,shop,276,13.02,2.5664866367804233,5.62040086571715
2019,51,Guatamala,1,wholesale,476,14.2,2.653241964607215,6.16541785423142
2019,14,Papua New Guinea,1,shop,820,14.2,2.653241964607215,6.709304340258298
2019,35,Ethiopia,4,shop,655,13.02,2.5664866367804233,6.484635235635252
2019,52,Guatamala,2,shop,476,14.2,2.653241964607215,6.16541785423142
2019,32,Kenya,1,shop,580,12.74,2.5447466501440172,6.363028103540465
2019,10,Kenya,3,wholesale,560,14.2,2.653241964607215,6.327936783729195
2019,34,Kenya,2,retail,570,13.02,2.5664866367804233,6.345636360828596
2019,36,Papua New Guinea,1,retail,839,14.24,2.65605490598383,6.732210706467206
2019,19,Panama,3,retail,274,14.2,2.653241964607215,5.6131281063880705
2019,17,Kenya,1,retail,557,13.02,2.5664866367804233,6.322565239927284
2019,8,Guatamala,1,retail,470,15.15,2.7180005319553784,6.152732694704104
2019,19,Papua New Guinea,1,wholesale,778,15.15,2.7180005319553784,6.656726524178391
2019,45,Papua New Guinea,1,retail,880,12.5,2.5257286443082556,6.779921907472252
2019,15,Kenya,1,shop,560,14.2,2.653241964607215,6.327936783729195
2019,17,Ethiopia,1,wholesale,685,12.5,2.5257286443082556,6.529418838262226
2019,6,Ethiopia,2,shop,685,12.57,2.531313022602156,6.529418838262226
2019,33,Guatamala,4,wholesale,488,12.55,2.529720665577793,6.1903154058531475
2019,25,Ethiopia,4,retail,685,12.5,2.5257286443082556,6.529418838262226
2019,37,Ethiopia,2,shop,640,14.2,2.653241964607215,6.461468176353717
2019,6,Ethiopia,5,retail,625,15.15,2.7180005319553784,6.437751649736401
2019,12,Papua New Guinea,1,retail,818,15.15,2.7180005319553784,6.706862336602747
2019,8,Guatamala,3,wholesale,451,15.15,2.7180005319553784,6.111467339502679
2019,1,Kenya,3,retail,550,15.15,2.7180005319553784,6.309918278226516
2019,39,Papua New Guinea,1,wholesale,820,14.15,2.649714624089247,6.709304340258298
2019,16,Ethiopia,2,wholesale,640,14.13,2.6483001966964363,6.461468176353717
2019,48,Panama,2,retail,284,12.55,2.529720665577793,5.648974238161206
2019,32,Ethiopia,1,wholesale,630,15.15,2.7180005319553784,6.4457198193855785
2019,11,Guatamala,2,wholesale,494,12.5,2.5257286443082556,6.202535517187923
2019,11,Panama,3,retail,268,14.2,2.653241964607215,5.5909869805108565
2019,8,Kenya,4,shop,550,15.15,2.7180005319553784,6.309918278226516
2019,29,Kenya,1,wholesale,590,12.45,2.5217206229107165,6.380122536899765
2019,34,Papua New Guinea,1,retail,857,13.02,2.5664866367804233,6.75343791859778
2019,11,Panama,2,retail,292,12.5,2.5257286443082556,5.676753802268282
2019,28,Papua New Guinea,1,retail,800,15.15,2.7180005319553784,6.684611727667927
2019,24,Panama,3,wholesale,265,13.02,2.5664866367804233,5.579729825986222
2019,50,Panama,3,retail,210,15.15,2.7180005319553784,5.3471075307174685
2019,51,Ethiopia,1,wholesale,612,14.2,2.653241964607215,6.416732282512326
2019,17,Ethiopia,2,shop,670,12.55,2.529720665577793,6.507277712385012
2019,19,Guatamala,4,retail,488,12.55,2.529720665577793,6.1903154058531475
2019,28,Guatamala,2,wholesale,470,15.15,2.7180005319553784,6.152732694704104
2019,15,Panama,3,wholesale,292,12.5,2.5257286443082556,5.676753802268282
2019,32,Guatamala,3,wholesale,494,12.5,2.5257286443082556,6.202535517187923
